,0
0,-0.081401409262
1,-0.0796004621007
2,-0.0816883100281
3,-0.0654767870505
4,-0.0873237900274
5,-0.0196966163252
6,-0.102496372868
7,-0.0904886310112
8,-0.0405321718809
9,0.00755224926358
10,-0.0357571100138
11,-0.0229544176014
12,-0.0610864649508
13,-0.105887759649
14,-0.310216211772
15,-0.125320326845
16,-0.336980427784
17,-0.0373785405045
18,-0.0333150909871
19,-0.0425567299609
20,-0.0626610878272
21,-0.0933145912252
22,-0.0328502577886
23,-0.103027006837
24,-0.038005870414
25,-0.0835943070383
26,-0.117339652751
27,-0.0575331278104
28,0.000297952512719
29,-0.069225739095
30,-0.0566735082545
31,-0.154422930164
