,0
0,-4.28775828325
1,-4.09765579654
2,-4.60124986466
3,-3.22581634777
4,-3.71168565685
5,-1.29851142177
6,-2.50340171792
7,-4.58672602793
8,-3.9805761541
9,-3.82022414157
10,-2.92986832696
11,-3.6801778802
12,-2.89516501128
13,-2.22463893371
14,-2.25185447181
15,-3.48921475062
16,-3.90614703586
17,-3.32584765103
18,-3.43259953264
19,-2.43877800459
20,-2.03208902363
21,-1.0453059974
22,-2.844758701
23,-1.84115577539
24,-0.638477819542
25,-1.7485701229
26,-2.2476102524
27,-3.98797318117
28,-0.559558279606
29,-2.85636308086
30,-2.16410931865
31,-2.9116545712
32,-0.470064160668
33,-4.83195378911
34,-1.55716634492
35,-1.03726824405
36,-2.85290490844
37,-4.13225719083
38,-3.64773278409
39,-3.43817980224
40,-3.94561658476
41,-3.10729145791
42,-2.36269315208
43,-1.35269633567
44,-2.7203323518
45,-0.00210611295986
46,-3.1898776642
47,-3.0271591403
48,-4.21879948835
49,-2.48246987388
50,-3.92607468191
51,-1.12948348972
52,-3.85751045673
53,-2.43598014038
54,-3.94431708175
55,-3.76912687507
56,-3.7332491009
57,-3.78202727514
58,0.261027654662
59,-2.19577633786
60,-3.50964786657
61,-3.31290902302
62,-2.94834053976
63,-4.35102181417
64,-0.871408673931
65,-2.37479275524
66,-4.14194798173
67,-2.83883376424
68,-5.5176854024
69,-1.31477453661
70,-1.5758874918
71,-1.69676387116
72,-3.61882026072
73,-3.72061155657
74,-1.55368043805
75,-3.54186266036
76,-2.00838276397
77,-3.09512893323
78,-4.29174383477
79,-2.96649839279
80,-2.69867380491
81,-2.02717176889
82,-1.6694210167
83,-4.3338700018
84,-1.97883190436
85,-2.73055303688
86,-5.35867207701
87,-1.22419857707
88,-5.17129902055
89,-3.44425046802
90,-4.7411069099
91,-2.66512477636
92,-3.23647831851
93,-4.74415775535
94,-1.73798387326
95,-1.96551417922
96,-0.977935078327
97,-4.24925021095
98,-4.42498785959
99,-2.44694489589
