,0,1,2,3,4,5,6,7,8,9
0,-13.3786328039,-14.6430384014,-14.6809304594,-14.8286241203,-14.7692838346,-14.6198382175,-14.5381137515,-14.5420828173,-15.0812154714,-14.7926038785
1,-19.1841496642,-18.9985827712,-18.9630549027,-17.6926080984,-19.3176361844,-17.7404440357,-19.2221826525,-19.2511557324,-18.9881025568,-18.3719127872
2,-23.6372637179,-24.0845007079,-23.7512789106,-23.9453322353,-23.8318706298,-24.054448316,-23.7531838924,-23.953131447,-22.8659743149,-24.1094573151
3,-0.240793984936,0.0829623320653,-0.192947238377,-0.247441779553,0.219437998755,-0.0197047134334,-0.0180430462874,-0.0959514709097,0.19685729534,0.128430852262
4,-19.0595635138,-19.0806250984,-19.3365111695,-18.9724976177,-19.313513892,-18.0568042263,-19.2464848233,-18.9574916813,-18.9757283708,-19.2595299639
5,-14.1279056722,-15.5189747352,-15.2957217984,-15.8672598071,-15.5852205492,-15.640358781,-15.1369364176,-15.6816129568,-15.4042282041,-15.6492929435
6,-17.2971600283,-17.4655493157,-16.6610802612,-17.5937786119,-17.2628684825,-17.6738773703,-16.386479943,-17.7597239978,-17.5539420321,-17.9944641765
7,-14.9205413207,-14.7181836192,-14.763248765,-15.094809869,-13.6817485214,-14.9202016799,-14.9626349342,-14.7475712654,-15.1709385797,-14.4976668666
8,-17.4113448979,-16.8448286277,-16.9325075955,-16.2223402995,-17.5743045695,-16.6104743921,-17.4219498815,-17.4326901381,-17.2492851953,-17.6328925187
9,-18.23754306,-18.1339736019,-18.4449768357,-18.367917753,-17.5841750095,-18.1081716445,-18.1744606279,-17.218612401,-18.9486071483,-17.4273152197
10,-20.2357865579,-20.6514241622,-20.6433186294,-19.8224122509,-20.6839841863,-19.2154972252,-20.0447195306,-20.6521702365,-19.1801781173,-19.9312069979
11,-17.3321404791,-17.2426889798,-17.3299217173,-17.6976410847,-16.2011604985,-17.3906528086,-16.0492889651,-17.4326420849,-17.6578532478,-17.9211625863
12,-22.7035767993,-23.2327128682,-23.1085353555,-23.1709760112,-23.0289863712,-23.0614508603,-22.875400877,-23.0536646689,-21.9270376743,-23.3058208349
13,-14.0602296933,-15.3770577777,-15.1073979707,-15.5314938333,-15.2469343559,-15.4976517695,-14.8912845176,-15.2964331508,-15.6559594102,-15.70625713
14,-13.9355381904,-12.5982941387,-14.1764651212,-14.1012392351,-13.8226406959,-13.8727208885,-13.6377101176,-13.7143128134,-13.58421595,-14.0255115647
15,-22.0823893545,-21.7753842592,-20.9529122606,-21.7195364831,-22.0960595159,-22.05707376,-21.6410463576,-22.1707769575,-21.9803174875,-22.4693164496
16,-21.6087747553,-20.0559991547,-21.6261392762,-21.7048498151,-21.6314786642,-21.5565940261,-21.1595630813,-21.5078357337,-20.4334958296,-21.9986858496
17,-15.7900891958,-15.5339449675,-15.7636940026,-14.6540375701,-15.7895756937,-15.220768909,-15.6653740613,-15.9677327205,-15.7958027556,-15.8724585099
18,-15.700364298,-15.5652567549,-15.7230151675,-16.0920441268,-15.7344418917,-15.8504700876,-15.739949039,-14.6496934677,-16.2079453021,-15.3966848795
19,-15.1030126679,-13.8351282258,-15.3161374545,-15.422270093,-15.1595219748,-15.2710249037,-14.8732604733,-14.9520098273,-15.0509365822,-15.4070582797
20,-16.6807031511,-16.5485748768,-16.6583751359,-16.7776177522,-16.5649868,-16.5563558068,-15.5873305812,-16.5990463788,-16.7770942453,-16.95623352
21,-17.5011097868,-15.8537656179,-17.3663006735,-17.4001431163,-17.2304261788,-17.4262332297,-17.1661281012,-16.6250591882,-17.7024344289,-17.413236302
22,-17.1360700497,-17.7765022748,-16.931902177,-17.7378302908,-18.103951704,-18.0740076553,-17.8160555501,-17.9410806082,-17.5952684494,-18.5393818299
23,-16.5564412104,-16.4193283835,-16.8197464257,-16.7688146575,-16.4474039867,-16.6607760924,-15.3720727288,-16.6255476551,-16.7144667927,-17.0671386241
24,-15.587557375,-15.5500347939,-15.6604271086,-15.0971259267,-15.6904919918,-14.434022975,-15.5624711138,-15.6966869973,-15.7348419476,-15.4911043129
25,-13.9548349565,-14.0086109838,-14.3587994912,-14.1965127456,-14.1352981388,-13.4936298009,-14.1771105307,-13.2160865902,-14.6329049857,-14.1576724415
26,-18.1314989054,-18.3229512356,-17.1794270121,-18.0440840444,-18.0660864423,-18.3718857691,-18.2665469801,-18.4064059803,-18.5066867229,-18.8599354216
27,0.110345627243,-0.217634477775,0.151650938666,-0.000614699884585,-0.11982089679,0.0406248975305,-0.0274530672611,-0.032338767206,-0.162655960144,-0.297270043842
28,-14.1634436829,-14.0782792422,-14.1370779887,-14.4520684499,-13.2544289661,-14.0781166622,-14.0666006355,-13.4185057114,-14.3650518846,-14.4689349494
29,-20.7628553121,-20.6865506923,-20.9366885332,-20.6130952657,-19.8555585205,-20.6694904335,-20.7212810273,-20.3054653562,-20.7688654023,-19.5148556069
30,-23.2363739787,-23.498003369,-23.4562659428,-23.2572214705,-23.703613733,-23.662851796,-23.6562329209,-23.8272546046,-22.4897863545,-23.439545704
31,-13.8432194363,-15.0038246444,-14.972538262,-15.117012352,-15.1111971513,-14.1124485845,-14.9434894429,-14.6950335893,-15.2821120361,-15.3715039987
32,-19.7219970331,-19.9319145338,-19.0914085505,-18.5802663756,-20.0894107012,-19.5232562149,-19.8903426648,-19.6174542198,-18.6453252319,-19.47216811
33,-15.2060884997,-15.0149102131,-15.2886657791,-15.4656941996,-13.3986495438,-15.0945138265,-15.1293089863,-14.2626486966,-14.7802560965,-13.6896242032
34,-17.9429962057,-17.4125514004,-17.479026208,-16.808293968,-16.7925160008,-17.5790459691,-17.8973014395,-16.3432674525,-18.1212514118,-16.3400996356
35,-17.3896230992,-16.630785623,-15.9114394731,-16.0207111449,-17.5405688101,-17.6356969231,-17.3323132709,-15.8161324112,-16.5326803694,-17.235891988
36,-18.0768762413,-18.0906145623,-18.3978511584,-18.1929610253,-18.1391422128,-16.7093820207,-16.8553150385,-18.3479428045,-17.2485209704,-18.6776184376
37,-18.3435324767,-18.1031221825,-17.4562170361,-18.0974844589,-18.0771184092,-18.2425578791,-18.3385271633,-17.3134306564,-18.6507587094,-18.2561518132
38,-16.6307117194,-18.0032017846,-17.9167479273,-18.1434421233,-17.4764259382,-17.6611170301,-16.7438124159,-17.99072448,-18.1998732969,-18.1507769811
39,-17.1582605935,-15.7748849827,-17.3468282372,-17.3230690575,-16.7313376169,-17.1927398182,-16.94648896,-17.0748247946,-17.1932467977,-17.2988938552
40,-15.9636483602,-15.7660385937,-16.2012866557,-15.9437968861,-16.119445425,-15.9608509773,-15.9409430836,-15.2931272888,-16.4399169921,-16.0487142076
41,-18.4133187741,-18.3169821683,-18.702709328,-17.499894363,-18.5061446074,-18.5055216094,-18.320083645,-18.6435927039,-18.6259840474,-18.400573806
42,-15.1012756853,-14.6819043452,-14.9970897402,-15.2126247822,-13.4203072443,-15.1417032003,-15.1047811324,-14.3830616167,-14.9680833176,-13.5902016032
43,-17.7061019368,-17.7417392891,-16.8041393209,-17.5344545038,-16.9067615331,-17.8763645826,-17.5785763269,-17.6114093503,-18.0593664223,-18.2395675162
44,-17.8773960699,-17.638587217,-17.9185671715,-18.3059789037,-16.7897805195,-18.1914093798,-17.8046631328,-17.9290839821,-18.3328255288,-17.7086107683
45,-16.3018605985,-16.3108584277,-16.5158095989,-16.5922811601,-16.578023176,-15.1938101662,-15.1935107312,-16.5333832528,-16.1723743065,-16.8698538891
46,-21.1406873655,-21.1393576651,-21.2843599951,-21.2070444274,-20.7894402769,-21.0978444292,-21.1998033455,-21.1618429413,-21.3630257133,-20.2709489897
47,-18.8200244914,-17.4574239384,-17.6969822998,-18.2091725459,-18.8955129702,-18.7024452006,-18.4118127689,-18.3062127037,-18.97052897,-19.4706812185
48,-11.1070494688,-10.8395650804,-10.921369965,-11.3839794085,-9.89324706366,-11.1622244637,-10.5961982953,-11.0917659522,-11.2262696055,-10.9045352145
49,-20.924575108,-20.8734228406,-21.0368547749,-21.0483084554,-20.5987506655,-21.0809642856,-20.9585866047,-20.8057240633,-20.9781436382,-20.0632582646
