,0
0,-0.0147757697974
1,-0.663374112399
2,-0.68566102778
3,-1.44432846335
4,-0.632918158423
5,-0.419336569269
6,-0.407015569535
7,-0.811833667912
8,-0.494533290845
9,-0.298816653877
10,-0.931209185077
11,-0.907128814111
12,0.117431511222
13,-0.119326979159
14,-0.875804428314
15,-0.444884473912
16,-0.496251224425
17,-0.402354255659
18,-0.504891192804
19,-0.831308003315
20,0.160093815189
21,-0.547043362312
22,-0.558220359038
23,-1.10068346645
24,-0.190320139803
25,-0.603543084744
26,-0.670217643961
27,-0.666727798347
28,-0.327617829944
29,-1.11849628706
30,-0.292325289111
31,-0.103756482879
32,-0.0156153637683
33,-0.560352501462
34,-0.898361677684
35,-0.8159913257
36,-0.238665620625
37,-0.810827847218
38,-0.0231771786717
39,-0.565617444445
40,-0.510142874491
41,-0.243042802184
42,-0.20567407553
43,-0.237861310132
44,-0.346312569307
45,-0.49773434604
46,-0.975756565002
47,-0.865719533627
48,-0.751664003239
49,-0.490184181183
50,-0.176943794778
51,-0.369964393347
52,-1.0454137034
53,-0.492992248637
54,-0.426678609865
55,-0.453163859764
56,-0.694617427656
57,-1.06726077796
58,-0.97281645996
59,-0.437193417533
60,-0.716872393534
61,-0.375642777163
62,-0.225384466196
63,-0.804633698775
64,-0.768723150486
65,-0.33862237803
66,-0.49355353795
67,-0.47600656787
68,-0.570514944411
69,-0.467246628047
70,-0.508825187599
71,-0.65813267405
72,-0.275180771682
73,-0.635782799508
74,-0.832077516656
75,-0.467187922689
76,-0.5748620058
77,-0.23856054018
78,-0.474377759784
79,-0.317196885061
80,-1.15137949594
81,-0.741686702971
82,-0.623416920424
83,-0.902376078486
84,-0.854798846899
85,-0.686197464675
86,-0.975078446217
87,-0.308938023611
88,-0.486205560474
89,-1.14648377211
90,-0.554042176032
91,-1.07382701107
92,-0.718182857363
93,-0.5761189548
94,-0.760647770886
95,0.0438927429678
96,-0.0807999533346
97,-0.746781708673
98,-0.108955615838
99,-0.715703407277
100,-0.49830090836
101,-0.0589732619263
102,-0.117068475056
103,-0.0147957225402
104,-0.4636521499
105,-0.431162951435
106,-1.02283706623
107,0.18903812782
108,0.154803626821
109,-0.572708739784
110,-0.369653115905
111,-0.829158986377
112,-0.101613426882
113,-0.54226637679
114,-0.457595855166
115,-0.194213989796
116,-0.601576703402
117,-0.612900059895
118,-0.551393670312
119,-0.917228226223
120,-0.184067390813
121,-1.22402948511
122,-0.924559334587
123,-0.8280964208
124,-0.862522392212
125,-0.313047791396
126,-0.225113969939
127,-0.667734557769
128,-0.222445208318
129,-0.0362842693641
130,-0.821080205687
131,-0.549119970637
132,-0.29913201807
133,-0.243607874418
134,-0.466991848073
135,-0.773007633015
136,-0.497852338666
137,-0.550853377041
138,-0.859123568293
139,-0.624927531894
140,-0.904466348938
141,-0.307287669247
142,-0.240220966475
143,-0.718122026924
144,-0.730756426966
145,-0.186168264194
146,-1.10726713253
147,-0.544318416753
148,-0.677163428121
149,-0.533081619221
150,-0.00529327866958
151,-0.519975220008
152,-0.828945156999
153,-0.954459846589
154,-0.0710825913627
155,-0.795804898904
156,-0.0646262925001
157,-0.547621637606
158,-0.407767659941
159,-1.54751651801
160,-0.299089187663
161,-0.30414062969
162,-0.396881579017
163,-0.292280046823
164,-0.9676476234
165,-0.287655414802
166,-0.480980107452
167,-0.562985822179
168,-0.845569950574
169,-0.784921998781
170,-0.829987739162
171,-0.380270380164
172,-0.393162120237
173,-0.183261008274
174,-0.401395774532
175,-0.650100641267
176,-0.401164987756
177,-0.365237720983
178,-0.460212022492
179,-0.220803445392
180,-0.824509172808
181,-0.409043831037
182,-0.949565582877
183,-0.247358854126
184,-0.942275605416
185,-0.514728933559
186,-0.17568548757
187,0.0910401870304
188,-0.540109570814
189,-0.621291306168
190,-0.840294921781
191,-0.387238084983
192,-0.810407886318
193,-0.23779031074
194,-0.783591863069
195,-0.114712104264
196,-0.732104763031
197,-0.427534058002
198,-0.443080152264
199,-0.976011201192
200,-0.225439816387
201,-0.94242294678
202,-0.0600487152049
203,-0.653880096228
204,-0.885834605153
205,0.150489562555
206,-0.682833722093
207,-0.708302262646
208,-0.64107270714
209,-0.39987868179
210,-0.651349072476
211,-0.0962768419016
212,-0.241514929988
213,-0.350419033679
214,-1.01779141699
215,-0.585184805778
216,0.162334024791
217,-0.159394987607
218,-0.68747090077
219,-0.448842287595
220,-0.707308852635
221,-1.16640424494
222,-0.49896419996
223,-0.547719267179
224,-0.449143496069
225,-1.16975571811
226,-0.755579261977
227,-0.17843180368
228,-0.478661916635
229,-0.622755392374
230,-0.506609487868
231,-0.519511656019
232,-0.873522995391
233,0.0881163091289
234,-0.62167588057
235,-0.428042294205
236,-0.339284951964
237,-0.782993747975
238,-0.628392098963
239,-0.827351012245
240,-0.638063637385
241,-0.28961448816
242,-0.291054904188
243,-0.652032169361
244,-0.736263668174
245,-0.364116326555
246,-0.0247270158892
247,-0.0975055418031
248,0.0176849842329
249,-0.0347449584517
250,-0.884196438508
251,-0.513939361162
252,-0.571842959713
253,-0.132325708644
254,-0.230498670049
255,-0.453453771765
256,-0.320081283672
257,-0.634171239037
258,-1.09144318157
259,-0.826877773076
260,-0.125307307396
261,-0.320286067143
262,-0.931181392298
263,-0.490890625592
264,-0.0976932260252
265,-0.389874716193
266,-0.583217621357
267,-1.13065487482
268,-0.363660125585
269,-0.830621201965
270,-0.68571916789
271,-0.555476744398
272,-0.119665551797
273,-0.199061851079
274,-0.639200676984
275,-0.753886450297
276,-0.4148231963
277,-0.799197847222
