,0
0,-3.19271031121
1,-2.48000854555
2,-2.50928832621
3,-3.36722522506
4,-0.410632497843
5,-2.57510291659
6,-3.09438407138
7,-3.98330399182
8,-3.16808542009
9,-2.45675345246
10,-2.81272962734
11,-2.63213928218
12,-2.12722451527
13,-3.49665579775
14,-3.08051321135
15,-3.43673854252
16,-2.41460195228
17,-3.4580119794
18,-2.62211203517
19,-2.44593116149
20,-3.08441649361
21,-3.46391252056
22,-2.99900727854
23,-3.14966259405
24,-2.9569734244
25,-2.99926759304
26,-3.31725586314
27,-2.14175118809
28,-2.62364529332
29,-3.24180389335
30,-0.900169422196
31,-3.14008410159
32,-1.74767543167
33,-2.62749972233
34,-3.32384222955
35,-0.722776713817
36,-3.24187200973
37,-2.60257615553
38,-3.82669383289
39,-3.144434066
40,-3.64783245859
41,-3.23851262797
42,-0.0168695939132
43,-3.19740345062
44,-1.21802792352
45,-3.5107264487
46,-3.14842475355
47,-2.81115365568
48,-3.30851320449
49,0.949472494434
50,-2.11496519372
51,-1.94340091413
52,-2.07138236
53,-2.40843462575
54,-2.2548758779
55,-3.3533976697
56,-2.91985282559
57,-3.20267197668
58,-2.87210367454
59,-3.39610143659
60,-2.57415698312
61,-3.47861982148
62,-1.99159174872
63,-2.97536575357
64,-3.10079298383
65,-2.82339120606
66,-3.78937387048
67,-2.67661627814
68,-1.64552334441
69,-2.20016735809
70,-2.49308483394
71,-1.84229528305
72,-1.00623704033
73,-2.28140222134
74,-2.92938816626
75,-2.74053041519
76,-2.14194808453
77,-2.81799964042
78,-2.34225604791
79,-2.79451882414
80,-3.40499963869
81,-3.60199751671
82,-2.83989998583
83,-3.22921359596
84,-2.80403320503
85,-3.67930634665
86,-2.87382706065
87,-2.7623113231
88,-1.78798404448
89,-4.7256470969
90,-3.45274767425
91,-3.59309500322
92,-2.26908570314
93,-2.59720041194
94,-0.472578922323
95,-2.35232236459
96,-0.808061593711
97,-3.2129080959
98,-3.33105048124
99,-2.51118722053
